id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
30066955,2019,8,2,2019-08-02 18:49:00 UTC,442615,roomthily,needs_id,32.24815273,-110.9087561,Lepidoptera,Butterflies and Moths,Insecta,47157,Lepidoptera,,,
30067026,2019,8,2,2019-08-02 19:02:00 UTC,442615,roomthily,needs_id,32.24830698,-110.9082626,Calephelis nemesis,Fatal Metalmark,Insecta,129363,Lepidoptera,Riodinidae,Calephelis,Calephelis nemesis
30067028,2019,8,2,2019-08-02 19:04:00 UTC,442615,roomthily,research,32.24830698,-110.9082626,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
30067120,2019,8,2,2019-08-02 19:05:00 UTC,442615,roomthily,research,32.2482505,-110.9083114,Hylephila phyleus,Fiery Skipper,Insecta,50340,Lepidoptera,Hesperiidae,Hylephila,Hylephila phyleus
30067121,2019,8,2,2019-08-02 19:11:00 UTC,442615,roomthily,research,32.2482505,-110.9083114,Strymon melinus,Gray Hairstreak,Insecta,50931,Lepidoptera,Lycaenidae,Strymon,Strymon melinus
30067122,2019,8,2,2019-08-02 19:14:00 UTC,442615,roomthily,research,32.2482505,-110.9083114,Copaeodes aurantiaca,Orange Skipperling,Insecta,129415,Lepidoptera,Hesperiidae,Copaeodes,Copaeodes aurantiaca
30067124,2019,8,2,2019-08-02 19:17:00 UTC,442615,roomthily,research,32.2482505,-110.9083114,Leptotes marina,Marine Blue,Insecta,59152,Lepidoptera,Lycaenidae,Leptotes,Leptotes marina
30067125,2019,8,2,2019-08-02 19:15:00 UTC,442615,roomthily,needs_id,32.2482505,-110.9083114,Eutricharaea,,Insecta,415012,Hymenoptera,Megachilidae,Megachile,
30084862,2019,7,25,2019-07-24 23:38:00 UTC,1790947,miguelenriquez989,research,32.24831591,-110.9091396,Papilio rumiko,Western Giant Swallowtail,Insecta,509627,Lepidoptera,Papilionidae,Papilio,Papilio rumiko
30084968,2019,7,25,2019-07-24 23:37:00 UTC,1790947,miguelenriquez989,research,32.24837036,-110.9090859,Vanessa cardui,Painted Lady,Insecta,48548,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
30199550,2019,8,4,2019-08-04 15:50:00 UTC,442615,roomthily,research,32.24829452,-110.9085971,Papilio rumiko,Western Giant Swallowtail,Insecta,509627,Lepidoptera,Papilionidae,Papilio,Papilio rumiko
30199552,2019,8,4,2019-08-04 15:56:00 UTC,442615,roomthily,research,32.24829452,-110.9085971,Ministrymon leda,Leda Ministreak,Insecta,225163,Lepidoptera,Lycaenidae,Ministrymon,Ministrymon leda
30199670,2019,8,4,2019-08-04 16:13:00 UTC,442615,roomthily,needs_id,32.24806087,-110.9078059,Svastra duplocincta,Barrel Cactus Longhorn,Insecta,309070,Hymenoptera,Apidae,Svastra,Svastra duplocincta
30199944,2019,8,4,2019-08-04 16:25:00 UTC,442615,roomthily,needs_id,32.24851456,-110.9078515,Uresiphita reversalis,Genista Broom Moth,Insecta,121716,Lepidoptera,Crambidae,Uresiphita,Uresiphita reversalis
30199945,2019,8,4,2019-08-04 16:19:00 UTC,442615,roomthily,needs_id,32.24851456,-110.9078515,Colias,Clouded Yellows,Insecta,58533,Lepidoptera,Pieridae,Colias,
30199951,2019,8,4,2019-08-04 17:02:00 UTC,442615,roomthily,research,32.24851456,-110.9078515,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
30199955,2019,8,4,2019-08-04 16:52:00 UTC,442615,roomthily,research,32.24851456,-110.9078515,Hemiargus ceraunus,Ceraunus Blue,Insecta,69940,Lepidoptera,Lycaenidae,Hemiargus,Hemiargus ceraunus
31077935,2019,7,25,2019-07-25 23:21:00 UTC,1148121,logancrees,research,32.248523,-110.908785,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
31262160,2019,8,21,2019-08-21 15:25:00 UTC,442615,roomthily,research,32.2483943,-110.9090808,Strymon melinus,Gray Hairstreak,Insecta,50931,Lepidoptera,Lycaenidae,Strymon,Strymon melinus
31262161,2019,8,21,2019-08-21 15:26:00 UTC,442615,roomthily,needs_id,32.2483943,-110.9090808,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
31262163,2019,8,21,2019-08-21 15:27:00 UTC,442615,roomthily,research,32.2483943,-110.9090808,Phoebis sennae,Cloudless Sulphur,Insecta,48550,Lepidoptera,Pieridae,Phoebis,Phoebis sennae
31262165,2019,8,21,2019-08-21 15:31:00 UTC,442615,roomthily,research,32.2483943,-110.9090808,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
31262166,2019,8,21,2019-08-21 15:55:00 UTC,442615,roomthily,research,32.24802854,-110.9082938,Xylocopa californica arizonensis,Arizona Carpenter Bee,Insecta,371461,Hymenoptera,Apidae,Xylocopa,Xylocopa californica
31262168,2019,8,21,2019-08-21 15:55:00 UTC,442615,roomthily,research,32.24841176,-110.908054,Hemiargus ceraunus,Ceraunus Blue,Insecta,69940,Lepidoptera,Lycaenidae,Hemiargus,Hemiargus ceraunus
31262169,2019,8,21,2019-08-21 16:46:00 UTC,442615,roomthily,research,32.24841176,-110.908054,Agraulis vanillae,Gulf Fritillary,Insecta,49150,Lepidoptera,Nymphalidae,Agraulis,Agraulis vanillae
31262172,2019,8,21,2019-08-21 17:25:00 UTC,442615,roomthily,research,32.24841176,-110.908054,Anthophora californica,California Digger Bee,Insecta,308726,Hymenoptera,Apidae,Anthophora,Anthophora californica
31262180,2019,8,21,2019-08-21 18:03:00 UTC,442615,roomthily,research,32.2481042,-110.9089785,Papilio pallas bajaensis,,Insecta,509643,Lepidoptera,Papilionidae,Papilio,Papilio pallas
31647325,2018,10,7,2018-10-07 19:31:00 UTC,518008,ingas,needs_id,32.248523,-110.908785,Systasea zampa,Arizona Powdered-Skipper,Insecta,204771,Lepidoptera,Hesperiidae,Systasea,Systasea zampa
32564737,2019,9,7,,2212877,dexinren,research,32.2485408,-110.9087849,Brachymyrmex patagonicus,Dark Rover Ant,Insecta,356419,Hymenoptera,Formicidae,Brachymyrmex,Brachymyrmex patagonicus
33154671,2019,9,21,2019-09-21 17:11:25 UTC,2271658,kartan,research,32.24858589,-110.9086866,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
34221677,2019,10,11,2019-10-11 18:02:03 UTC,474634,scottedmunds,research,32.24833667,-110.908325,Danaus plexippus,Monarch,Insecta,48662,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus
35419740,2019,11,7,2019-11-07 19:39:52 UTC,2007045,nbjersey,research,32.24833667,-110.9082717,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
35425127,2019,11,7,2019-11-07 22:11:02 UTC,2007045,nbjersey,research,32.24834167,-110.908355,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
35425147,2019,11,7,2019-11-07 22:10:55 UTC,2007045,nbjersey,research,32.24832167,-110.9083417,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
35425159,2019,11,7,2019-11-07 22:10:50 UTC,2007045,nbjersey,research,32.24831667,-110.9083417,Vanessa cardui,Painted Lady,Insecta,48548,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui
35459574,2019,11,8,2019-11-08 19:13:08 UTC,1424273,paulswitzer,research,32.24838833,-110.9084333,Anthanassa texana,Texan Crescent,Insecta,132339,Lepidoptera,Nymphalidae,Anthanassa,Anthanassa texana
35459602,2019,11,8,2019-11-08 19:06:41 UTC,1424273,paulswitzer,research,32.24831333,-110.9082633,Danaus gilippus,Queen,Insecta,51743,Lepidoptera,Nymphalidae,Danaus,Danaus gilippus
35466804,2019,11,8,2019-11-08 22:35:07 UTC,1424273,paulswitzer,needs_id,32.24801667,-110.9095217,Papilio polyxenes,Black Swallowtail,Insecta,58523,Lepidoptera,Papilionidae,Papilio,Papilio polyxenes
