Year,Month,Day,latitude,longitude,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
2016,8,22,32.238293,-110.942069,Coleoptera,Curculionidae,Cactophagus,Cactophagus spinolae
2016,8,22,32.238293,-110.942069,Coleoptera,Curculionidae,Cactophagus,Cactophagus spinolae
2016,8,22,32.238293,-110.942069,Coleoptera,Curculionidae,Cactophagus,Cactophagus spinolae
2020,7,23,32.24203241,-110.9534345,Coleoptera,Curculionidae,Scyphophorus,
2020,3,7,32.23226379,-110.9506332,Coleoptera,Curculionidae,Sphenophorus,
2020,3,6,32.232443,-110.948038,Coleoptera,Curculionidae,,
2017,4,10,32.2339,-110.9597,Coleoptera,Dermestidae,Anthrenus,Anthrenus verbasci
2019,9,11,32.23248487,-110.9516175,Coleoptera,Dermestidae,Attagenus,
2019,7,26,32.22346497,-110.9530411,Coleoptera,Elateridae,Conoderus,
2016,4,11,32.22553344,-110.9624454,Coleoptera,Lampyridae,,
2016,4,12,32.22560314,-110.9624523,Coleoptera,Lampyridae,,
2015,5,10,32.23522209,-110.9465962,Coleoptera,Meloidae,Tegrodera,Tegrodera aloga
2019,5,16,32.23189004,-110.9493719,Coleoptera,Meloidae,Tegrodera,Tegrodera aloga
2020,8,26,32.2338388,-110.9466436,Coleoptera,Phalacridae,,
2016,8,7,32.238293,-110.942069,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2016,8,7,32.238293,-110.942069,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2017,7,27,32.23972541,-110.9599815,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,4,23,32.23551703,-110.954168,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,4,23,32.23548314,-110.9540533,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,8,10,32.22937012,-110.954895,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,8,24,32.236625,-110.9449533,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,10,12,32.23069694,-110.9525706,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,10,12,32.230705,-110.9525967,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,10,12,32.23067833,-110.95292,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,11,15,32.233475,-110.9563217,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,11,28,32.23195,-110.9537117,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2018,12,2,32.2323461,-110.9562217,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2019,8,6,32.22505472,-110.9489318,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2019,8,26,32.23478096,-110.9506549,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,4,32.23759616,-110.947713,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,5,32.22876167,-110.95302,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,5,32.2285199,-110.9511544,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,10,32.23993667,-110.9543383,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,11,32.23307833,-110.95208,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,26,32.23395552,-110.9466726,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,29,32.23549603,-110.9539018,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,8,29,32.23180833,-110.9542617,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,9,1,32.231125,-110.9509417,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,9,4,32.2326906,-110.9530094,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2020,9,7,32.229175,-110.95073,Coleoptera,Scarabaeidae,Cotinis,Cotinis mutabilis
2019,9,10,32.23483786,-110.9480683,Coleoptera,Scarabaeidae,Cotinis,
2019,10,8,32.23225987,-110.9500367,Coleoptera,Scarabaeidae,Cotinis,
2019,9,14,32.227805,-110.952995,Coleoptera,Scarabaeidae,Hemiphileurus,Hemiphileurus illatus
2020,8,9,32.22474039,-110.9407888,Coleoptera,Scarabaeidae,Hemiphileurus,Hemiphileurus illatus
2020,8,26,32.23246905,-110.9392876,Coleoptera,Scarabaeidae,Hemiphileurus,Hemiphileurus illatus
2019,11,13,32.24098866,-110.9583054,Coleoptera,Scarabaeidae,Heteronychus,
2019,9,9,32.230362,-110.950959,Coleoptera,Scarabaeidae,Phyllophaga,
2017,9,26,32.23328841,-110.9516968,Coleoptera,Scarabaeidae,Strigoderma,
2017,9,26,32.23321522,-110.9500611,Coleoptera,Scarabaeidae,Strigoderma,
2020,9,8,32.22330833,-110.9603117,Coleoptera,Scarabaeidae,Tomarus,Tomarus gibbosus
2016,3,15,32.22880391,-110.9626216,Coleoptera,Scarabaeidae,,
2019,9,5,32.23249905,-110.9523897,Coleoptera,Scarabaeidae,,
2019,9,6,32.22823721,-110.9511112,Coleoptera,Scarabaeidae,,
2019,9,15,32.23150771,-110.9429017,Coleoptera,Scarabaeidae,,
2019,9,15,32.23038592,-110.9507146,Coleoptera,Scarabaeidae,,
2020,8,22,32.23767606,-110.9607097,Coleoptera,Scarabaeidae,,
2016,3,14,32.22885263,-110.9632658,Coleoptera,Staphylinidae,,
2019,11,6,32.23155193,-110.9538891,Coleoptera,Tenebrionidae,Blapstinus,
2018,8,23,32.2249527,-110.9583893,Coleoptera,Tenebrionidae,Cryptoglossa,Cryptoglossa variolosa
2018,10,7,32.23392959,-110.9645816,Coleoptera,Tenebrionidae,Eleodes,
2017,11,30,32.23100637,-110.9647492,Coleoptera,Tenebrionidae,Eusattus,Eusattus reticulatus
2019,12,5,32.22545163,-110.9548388,Coleoptera,Tenebrionidae,Eusattus,
2020,7,30,32.22973833,-110.9640417,Coleoptera,Tenebrionidae,Stenomorpha,
