id,observed_on,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
9927649,2018-02-19,2018-02-19 22:41:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Sympistis perscripta,Scribbled Sallow,Insecta,232095,Lepidoptera,Noctuidae,Sympistis,Sympistis perscripta
9962929,2018-02-22,2018-02-23 03:04:00 UTC,275891,psyllidhipster,needs_id,32.248414114,-110.9087635417,,false,Plusiinae,Plusiine Looper Moths,Insecta,122455,Lepidoptera,Noctuidae,,
9962930,2018-02-22,2018-02-23 03:03:00 UTC,275891,psyllidhipster,research,32.248414114,-110.9087635417,,false,Protorthodes melanopis,,Insecta,346993,Lepidoptera,Noctuidae,Protorthodes,Protorthodes melanopis
9962931,2018-02-22,2018-02-23 01:35:00 UTC,275891,psyllidhipster,research,32.248414114,-110.9087635417,,false,Michaelophorus indentatus,,Insecta,417747,Lepidoptera,Pterophoridae,Michaelophorus,Michaelophorus indentatus
9962934,2018-02-22,2018-02-23 00:36:00 UTC,275891,psyllidhipster,research,32.248414114,-110.9087635417,,false,Brochymena sulcata,,Insecta,210508,Hemiptera,Pentatomidae,Brochymena,Brochymena sulcata
10051253,2018-03-01,2018-03-02 02:55:00 UTC,275891,psyllidhipster,research,32.2484867047,-110.9086562538,,false,Anstenoptilia marmarodactyla,Sage Plume Moth,Insecta,129906,Lepidoptera,Pterophoridae,Anstenoptilia,Anstenoptilia marmarodactyla
10051255,2018-03-01,2018-03-02 02:13:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Scaphytopius,,Insecta,203279,Hemiptera,Cicadellidae,Scaphytopius,
10051256,2018-03-01,2018-03-02 02:09:00 UTC,275891,psyllidhipster,research,32.2484867047,-110.9086562538,,false,Alconeura dodonana,,Insecta,482583,Hemiptera,Cicadellidae,Alconeura,Alconeura dodonana
10051257,2018-03-01,2018-03-02 01:59:00 UTC,275891,psyllidhipster,research,32.2484867047,-110.9086562538,,false,Aphis nerii,Oleander Aphid,Insecta,71154,Hemiptera,Aphididae,Aphis,Aphis nerii
10051258,2018-03-01,2018-03-02 01:46:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Iowanus,,Insecta,543811,Hemiptera,Cicadellidae,Texananus,
10051259,2018-03-01,2018-03-02 01:37:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Phytocoris,,Insecta,178498,Hemiptera,Miridae,Phytocoris,
10051260,2018-03-01,2018-03-02 01:36:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Drosophilidae,Vinegar and Fruit Flies,Insecta,67742,Diptera,Drosophilidae,,
10051261,2018-03-01,2018-03-02 01:33:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Brachymyrmex,Rover Ants,Insecta,68941,Hymenoptera,Formicidae,Brachymyrmex,
10051262,2018-03-01,2018-03-02 01:29:00 UTC,275891,psyllidhipster,needs_id,32.2484867047,-110.9086562538,,false,Brochymena sulcata,,Insecta,210508,Hemiptera,Pentatomidae,Brochymena,Brochymena sulcata
10051264,2018-03-01,2018-03-02 01:26:00 UTC,275891,psyllidhipster,research,32.2484867047,-110.9086562538,,false,Largus californicus,California Bordered Plant Bug,Insecta,52986,Hemiptera,Largidae,Largus,Largus californicus
10051266,2018-03-01,2018-03-02 00:57:00 UTC,275891,psyllidhipster,research,32.2484867047,-110.9086562538,,false,Heteranassa mima,,Insecta,363283,Lepidoptera,Erebidae,Heteranassa,Heteranassa mima
10369672,2018-03-22,2018-03-23 02:46:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Pachybrachis,Scriptured Leaf Beetles,Insecta,176326,Coleoptera,Chrysomelidae,Pachybrachis,
10369673,2018-03-22,2018-03-23 02:43:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Empoascini,,Insecta,473947,Hemiptera,Cicadellidae,,
10369674,2018-03-22,2018-03-23 02:38:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Homalodisca liturata,Smoketree Sharpshooter,Insecta,143188,Hemiptera,Cicadellidae,Homalodisca,Homalodisca liturata
10369675,2018-03-22,2018-03-23 02:32:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Scaphytopius,,Insecta,203279,Hemiptera,Cicadellidae,Scaphytopius,
10369676,2018-03-22,2018-03-23 02:31:00 UTC,275891,psyllidhipster,research,32.248523,-110.908785,,false,Pechalius dentiger,,Insecta,471290,Coleoptera,Tenebrionidae,Pechalius,Pechalius dentiger
10369677,2018-03-22,2018-03-23 02:31:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Gelechiidae,Twirler Moths,Insecta,55519,Lepidoptera,Gelechiidae,,
10369679,2018-03-22,2018-03-23 02:31:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Texananus,,Insecta,147362,Hemiptera,Cicadellidae,Texananus,
10369680,2018-03-22,2018-03-23 02:20:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Pyralidae,Pyralid Snout Moths,Insecta,49683,Lepidoptera,Pyralidae,,
10369681,2018-03-22,2018-03-23 02:08:00 UTC,275891,psyllidhipster,needs_id,32.248523,-110.908785,,false,Brochymena,Rough Stink Bugs,Insecta,127347,Hemiptera,Pentatomidae,Brochymena,
