Area,Family,Species,Count
Tucson,Nymphalidae,Agraulis vanillae,58
Tucson,Nymphalidae,Anthanassa texana,113
Tucson,Nymphalidae,Asterocampa celtis,19
Tucson,Nymphalidae,Asterocampa leilia,130
Tucson,Nymphalidae,Chlosyne lacinia,16
Tucson,Nymphalidae,Danaus gilippus,326
Tucson,Nymphalidae,Danaus plexippus,124
Tucson,Nymphalidae,Dymasia dymas,43
Tucson,Nymphalidae,Euptoieta claudia,11
Tucson,Nymphalidae,Euptoieta hegesia,1
Tucson,Nymphalidae,Junonia coenia,38
Tucson,Nymphalidae,Junonia nigrosuffusa,7
Tucson,Nymphalidae,Libytheana carinenta,112
Tucson,Nymphalidae,Limenitis archippus,1
Tucson,Nymphalidae,Marpesia petreus,1
Tucson,Nymphalidae,Mestra amymone,2
Tucson,Nymphalidae,Nymphalis antiopa,13
Tucson,Nymphalidae,Nymphalis californica,1
Tucson,Nymphalidae,Phyciodes mylitta,1
Tucson,Nymphalidae,Polygonia interrogationis,1
Tucson,Nymphalidae,Polygonia satyrus,1
Tucson,Nymphalidae,Texola perse,9
Tucson,Nymphalidae,Vanessa annabella,12
Tucson,Nymphalidae,Vanessa atalanta,10
Tucson,Nymphalidae,Vanessa cardui,259
Tucson,Nymphalidae,Vanessa virginiensis,4
Tucson,Papilionidae,Battus philenor,124
Tucson,Papilionidae,Papilio multicaudata,8
Tucson,Papilionidae,Papilio pallas,1
Tucson,Papilionidae,Papilio polyxenes,18
Tucson,Papilionidae,Papilio rumiko,133
Tucson,Pieridae,Abaeis nicippe,79
Tucson,Pieridae,Anthocharis cethura,6
Tucson,Pieridae,Anthocharis thoosa,17
Tucson,Pieridae,Colias eurytheme,29
Tucson,Pieridae,Euchloe lotta,4
Tucson,Pieridae,Eurema boisduvaliana,2
Tucson,Pieridae,Eurema mexicana,13
Tucson,Pieridae,Kricogonia lyside,5
Tucson,Pieridae,Nathalis iole,62
Tucson,Pieridae,Phoebis agarithe,7
Tucson,Pieridae,Phoebis sennae,71
Tucson,Pieridae,Pieris rapae,6
Tucson,Pieridae,Pontia protodice,82
Tucson,Pieridae,Pyrisitia proterpia,8
Tucson,Pieridae,Zerene cesonia,32
Tucson,Riodinidae,Apodemia mormo,1
Tucson,Riodinidae,Apodemia palmerii,16
Tucson,Riodinidae,Calephelis arizonensis,1
Tucson,Riodinidae,Calephelis nemesis,47
