id,year_observed,month_observed,day_observed,time_observed_at,user_id,user_login,quality_grade,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
65868944,2020,6,20,2020-06-20 22:37:00 UTC,2408665,rebecca876,needs_id,32.2235,-110.9502,Kalotermitidae,Drywood Termites,Insecta,143496,Blattodea,Kalotermitidae,,
37805626,2020,1,20,2020-01-21 00:31:18 UTC,1030791,naturegirlandmom,needs_id,32.23177719,-110.9515686,Reticulitermes hesperus,Western Subterranean Termite,Insecta,296465,Blattodea,Rhinotermitidae,Reticulitermes,Reticulitermes hesperus
2918490,2016,4,11,2016-04-11 17:11:45 UTC,214495,eddie_32,needs_id,32.22743089,-110.9619784,Gnathamitermes,Long-jawed Desert Termites,Insecta,249079,Blattodea,Termitidae,Gnathamitermes,
2934873,2016,4,14,2016-04-14 18:23:56 UTC,210733,kassym_44,needs_id,32.22709791,-110.9593184,Gnathamitermes,Long-jawed Desert Termites,Insecta,249079,Blattodea,Termitidae,Gnathamitermes,
2782167,2016,3,14,2016-03-14 16:45:44 UTC,197112,christinaaavv,needs_id,32.22847549,-110.9635406,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
2826174,2016,3,15,,73174,wise,needs_id,32.227469,-110.952049,Termitoidae,Termites,Insecta,118903,Blattodea,,,
2826339,2016,3,15,,73174,wise,needs_id,32.227133,-110.951694,Termitoidae,Termites,Insecta,118903,Blattodea,,,
2919368,2016,4,11,2016-04-11 19:12:12 UTC,212914,gracek0514,needs_id,32.2264218,-110.9619769,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
2923428,2016,4,12,2016-04-12 15:05:08 UTC,212676,diegobe10,needs_id,32.22643479,-110.9619923,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
2929696,2016,4,13,2016-04-13 19:28:14 UTC,212914,gracek0514,needs_id,32.22686193,-110.9601731,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
2936009,2016,4,14,2016-04-14 20:47:17 UTC,210809,sc_goldstate30,needs_id,32.22624037,-110.9609018,Termitoidae,Termites,Insecta,118903,Blattodea,,,
2936015,2016,4,14,2016-04-14 20:48:34 UTC,210780,marcuslatimer_,needs_id,32.22625923,-110.9610053,Termitoidae,Termites,Insecta,118903,Blattodea,,,
5639139,2017,4,10,2017-04-10 20:45:38 UTC,409665,miratheilmann,needs_id,32.22685063,-110.9520031,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
18398570,2018,11,14,2018-11-14 20:46:25 UTC,1273789,pumajared,needs_id,32.22951167,-110.954545,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
25324279,2019,5,18,,284246,memcinto,needs_id,32.23841,-110.942101,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
32824211,2019,9,13,,2264217,benfarquhar,needs_id,32.236077,-110.949264,Termitoidae,Termites,Insecta,118903,Blattodea,,,
61735900,2020,10,2,2020-10-02 20:26:54 UTC,3704339,esinnett,needs_id,32.22919667,-110.951705,Blaberoidea,Giant and Wood Cockroaches,Insecta,81770,Blattodea,,,
62579077,2020,10,14,2020-10-14 18:33:28 UTC,3551697,connorsturgeon,needs_id,32.2323043,-110.9521687,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
65515855,2020,11,23,2020-11-24 06:06:01 UTC,3579058,maxhoffman,needs_id,32.23180807,-110.9539349,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
65916843,2020,11,30,2020-12-01 00:24:08 UTC,3515485,mdeci,needs_id,32.22482693,-110.9494539,Blattodea,Cockroaches and Termites,Insecta,81769,Blattodea,,,
30587807,2019,8,1,2019-08-01 23:39:31 UTC,284685,madkaplan,needs_id,32.23748333,-110.95002,Bostrichidae,Auger Beetles,Insecta,47625,Coleoptera,Bostrichidae,,
58262787,2020,9,1,2020-09-01 16:12:40 UTC,1422807,wildlife_lover,research,32.237675,-110.95517,Chrysobothris octocola,,Insecta,271978,Coleoptera,Buprestidae,Chrysobothris,Chrysobothris octocola
54269240,2020,7,25,2020-07-25 14:24:00 UTC,1923420,emartian,research,32.23326333,-110.955055,Polycesta aruensis,,Insecta,490802,Coleoptera,Buprestidae,Polycesta,Polycesta aruensis
16026626,2018,8,26,2018-08-26 10:32:02 UTC,850533,sarahrd,needs_id,32.23217972,-110.9497037,Calosoma,Caterpillar-hunter Beetles,Insecta,82765,Coleoptera,Carabidae,Calosoma,
18387157,2018,9,8,2018-09-08 14:25:21 UTC,1273751,lshoemake,needs_id,32.2297608,-110.9523092,Calosoma,Caterpillar-hunter Beetles,Insecta,82765,Coleoptera,Carabidae,Calosoma,
18771736,2018,10,16,2018-10-16 15:54:24 UTC,1273795,bgin,needs_id,32.23108209,-110.9513708,Carabidae,Ground Beetles,Insecta,49567,Coleoptera,Carabidae,,
61735014,2020,9,13,2020-09-14 04:14:28 UTC,3708304,kuanchenglu,needs_id,32.23136108,-110.9494933,Carabidae,Ground Beetles,Insecta,49567,Coleoptera,Carabidae,,
35783738,2019,11,15,2019-11-15 16:46:13 UTC,2350408,abigaildenman,research,32.23193334,-110.9501093,,Long-jawed Longhorn Beetle,Insecta,1115074,Coleoptera,Cerambycidae,Dendrobias,Dendrobias mandibularis
13659305,2018,6,21,2018-06-22 03:45:18 UTC,904914,jsimon48,research,32.22900305,-110.9508811,Derobrachus hovorei,Palo Verde Root Borer,Insecta,354643,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
51112147,2020,6,24,2020-06-24 21:37:08 UTC,284685,madkaplan,research,32.23743986,-110.9479744,Derobrachus hovorei,Palo Verde Root Borer,Insecta,354643,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
51661548,2020,7,1,2020-07-02 02:54:08 UTC,2408653,molenski,research,32.23939167,-110.9591533,Derobrachus hovorei,Palo Verde Root Borer,Insecta,354643,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
52227376,2020,7,6,2020-07-07 03:03:22 UTC,2251296,eliselauterbur,research,32.2247424,-110.9408924,Derobrachus hovorei,Palo Verde Root Borer,Insecta,354643,Coleoptera,Cerambycidae,Derobrachus,Derobrachus hovorei
65869528,2020,6,14,2020-06-14 22:23:00 UTC,2408665,rebecca876,needs_id,32.2235,-110.9502,Derobrachus,,Insecta,252004,Coleoptera,Cerambycidae,Derobrachus,
15836132,2018,8,24,2018-08-24 06:15:35 UTC,1159055,daleasabrina,research,32.23392868,-110.9645462,Megacyllene antennata,,Insecta,305712,Coleoptera,Cerambycidae,Megacyllene,Megacyllene antennata
16527943,2018,9,14,2018-09-14 17:34:55 UTC,904914,jsimon48,research,32.23100281,-110.9512863,Megacyllene antennata,,Insecta,305712,Coleoptera,Cerambycidae,Megacyllene,Megacyllene antennata
3946764,2016,8,22,2016-08-22 14:16:00 UTC,284246,memcinto,research,32.238293,-110.942069,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
3946765,2016,8,22,2016-08-22 14:16:00 UTC,284246,memcinto,research,32.238293,-110.942069,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
15831231,2018,8,23,2018-08-24 00:45:52 UTC,550536,robert145,research,32.22886505,-110.9375553,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
32555905,2019,9,10,,2176266,cdehler,research,32.227561,-110.94697,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
32944527,2019,9,18,2019-09-18 12:13:13 UTC,572152,ewc,research,32.22339249,-110.9530716,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
33288956,2019,9,23,2019-09-23 22:16:47 UTC,1923420,emartian,research,32.23175833,-110.9638667,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
58099271,2020,8,30,2020-08-30 22:47:09 UTC,3539312,maziarjavadi,research,32.22962984,-110.9389081,Moneilema gigas,Giant Cactus Longhorn Beetle,Insecta,129340,Coleoptera,Cerambycidae,Moneilema,Moneilema gigas
18398602,2018,11,13,2018-11-14 03:34:48 UTC,1273789,pumajared,needs_id,32.2383385,-110.9495697,Moneilema,Cactus Longhorned Beetles,Insecta,129345,Coleoptera,Cerambycidae,Moneilema,
54108663,2020,7,23,2020-07-23 22:33:38 UTC,1273752,shiannadavinestewart,needs_id,32.24203136,-110.953849,Moneilema,Cactus Longhorned Beetles,Insecta,129345,Coleoptera,Cerambycidae,Moneilema,
85833,2007,9,27,,3785,treegrow,research,32.230808,-110.953502,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
4246317,2016,9,28,2016-09-28 12:32:00 UTC,284246,memcinto,research,32.238293,-110.942069,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
4246318,2016,9,28,2016-09-28 12:31:00 UTC,284246,memcinto,research,32.238293,-110.942069,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
7984715,2017,9,18,2017-09-18 18:39:16 UTC,597767,sonorandelights,research,32.23242,-110.95157,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
32251747,2019,9,6,2019-09-06 18:48:32 UTC,2212893,lbby,research,32.23255593,-110.9509817,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
32730552,2019,9,14,2019-09-14 21:31:28 UTC,2250855,natashaemmm,research,32.23223833,-110.9507617,Oncideres rhodosticta,Mesquite Girdler Beetle,Insecta,129359,Coleoptera,Cerambycidae,Oncideres,Oncideres rhodosticta
32481023,2019,9,10,2019-09-10 17:01:06 UTC,2212905,ravendanaywells,needs_id,32.23227,-110.9516,Sternidius,,Insecta,211375,Coleoptera,Cerambycidae,Sternidius,
64773658,2020,10,4,2020-10-04 20:00:22 UTC,3708432,christopherraybon,needs_id,32.23188481,-110.9496644,Tetraopes,Milkweed Longhorn Beetles,Insecta,81549,Coleoptera,Cerambycidae,Tetraopes,
60478044,2020,9,21,2020-09-21 18:10:03 UTC,3653125,allanchon11,research,32.2286749,-110.9644816,Algarobius prosopis,Algarobius prosopis,Insecta,303028,Coleoptera,Chrysomelidae,Algarobius,Algarobius prosopis
42051896,2020,4,12,2020-04-12 22:42:42 UTC,1923420,emartian,needs_id,32.23035833,-110.9627,Altica,Metallic Flea Beetles,Insecta,173228,Coleoptera,Chrysomelidae,Altica,
14570949,2018,7,15,2018-07-15 16:32:25 UTC,1099034,mecklslagle,research,32.23714195,-110.9506635,Deloyala lecontei,,Insecta,310169,Coleoptera,Chrysomelidae,Deloyala,Deloyala lecontei
33680093,2019,9,30,2019-10-01 00:07:39 UTC,2212957,lutes,research,32.22873865,-110.9551489,Disonycha glabrata,Pigweed Flea Beetle,Insecta,309839,Coleoptera,Chrysomelidae,Disonycha,Disonycha glabrata
64256274,2020,9,5,2020-09-06 02:00:00 UTC,904914,jsimon48,needs_id,32.23549114,-110.9542108,Pachybrachis,Scriptured Leaf Beetles,Insecta,176326,Coleoptera,Chrysomelidae,Pachybrachis,
